naslov,avtor,leto,ocena
Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,4.57
Harry Potter and the Deathly Hallows,J.K. Rowling,2007,4.62
The Hunger Games,Suzanne Collins,2008,4.33
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,4.5
Harry Potter and the Goblet of Fire,J.K. Rowling,2000,4.56
The Fault in Our Stars,John Green,2012,4.22
The Road,Cormac McCarthy,2006,3.97
Catching Fire,Suzanne Collins,2009,4.29
The Book Thief,Markus Zusak,2005,4.37
Never Let Me Go,Kazuo Ishiguro,2005,3.82
Mockingjay,Suzanne Collins,2010,4.04
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,3.88
Gone Girl,Gillian Flynn,2012,4.07
The Goldfinch,Donna Tartt,2013,3.91
American Gods,Neil Gaiman,2001,4.11
The Girl with the Dragon Tattoo,Stieg Larsson,2005,4.13
The Da Vinci Code,Dan Brown,2003,3.84
Atonement,Ian McEwan,2001,3.9
Life of Pi,Yann Martel,2001,3.91
The Kite Runner,Khaled Hosseini,2003,4.29
Twilight,Stephenie Meyer,2005,3.59
Cloud Atlas,David Mitchell,2004,4.02
The Girl on the Train,Paula Hawkins,2015,3.92
Harry Potter and the Cursed Child: Parts One and Two,John Tiffany,2016,3.64
Kafka on the Shore,Haruki Murakami,2002,4.14
The Martian,Andy Weir,2012,4.4
The Ocean at the End of the Lane,Neil Gaiman,2013,4.0
The Shadow of the Wind,Carlos Ruiz Zafón,2001,4.27
The Help,Kathryn Stockett,2009,4.47
The Sense of an Ending,Julian Barnes,2011,3.72
Ready Player One,Ernest Cline,2011,4.27
The Time Traveler's Wife,Audrey Niffenegger,2003,3.97
Divergent,Veronica Roth,2011,4.2
Middlesex,Jeffrey Eugenides,2002,4.0
Americanah,Chimamanda Ngozi Adichie,2013,4.3
The Lovely Bones,Alice Sebold,2002,3.81
Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,3.98
Oryx and Crake,Margaret Atwood,2003,4.01
The Cuckoo's Calling,Robert Galbraith,2013,3.86
Room,Emma Donoghue,2010,4.06
All the Light We Cannot See,Anthony Doerr,2014,4.33
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,3.91
A Feast for Crows,George R.R. Martin,2005,4.14
Jonathan Strange &amp; Mr Norrell,Susanna Clarke,2004,3.82
Eleanor Oliphant Is Completely Fine,Gail Honeyman,2017,4.3
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,3.9
Looking for Alaska,John Green,2005,4.04
A Visit from the Goon Squad,Jennifer Egan,2010,3.66
White Teeth,Zadie Smith,2000,3.77
The Hate U Give,Angie Thomas,2017,4.51
